gene_chr	gene_chr_start	gene_chr_end	ENSG	gene_id	gene_type	strand	promoter_chr	promoter_chr_start	promoter_chr_end	promoter_id	enhancer_chr	enhancer_chr_start	enhancer_chr_end	enhancer_id	reads_count	P-value	cell_line	methods
chr8	110346553	110358182	ENSG00000120533.8	ENY2	protein_coding	+	chr8	110337163	110351614	K562_MPT_12574	chr1	51953286	51960492	K562_TE_761	3	1.12e-2	K562	KARR-seq
chr8	110253148	110346614	ENSG00000120526.6	NUDCD1	protein_coding	-	chr8	110337163	110351614	K562_MPT_12574	chr1	51953286	51960492	K562_TE_761	3	1.12e-2	K562	KARR-seq
chr19	55644162	55660722	ENSG00000105048.12	TNNT1	protein_coding	-	chr19	55648259	55696809	K562_MPT_7001	chr9	80494644	80638505	K562_SE_716	3	6.85e-2	K562	KARR-seq
chr19	55670031	55678090	ENSG00000167646.9	DNAAF3	protein_coding	-	chr19	55648259	55696809	K562_MPT_7001	chr9	80494644	80638505	K562_SE_716	3	6.85e-2	K562	KARR-seq
chr19	55670307	55688908	ENSG00000267577.1	CTD-2587H24.5	lncRNA	+	chr19	55648259	55696809	K562_MPT_7001	chr9	80494644	80638505	K562_SE_716	3	6.85e-2	K562	KARR-seq
chr1	6812779	6812881	ENSG00000239166.1	snoU13	snoRNA	+	chr19	55648259	55696809	K562_MPT_7001	chr9	80494644	80638505	K562_SE_716	3	6.85e-2	K562	KARR-seq
chr19	55682567	55691809	ENSG00000129990.10	SYT5	protein_coding	-	chr19	55648259	55696809	K562_MPT_7001	chr9	80494644	80638505	K562_SE_716	3	6.85e-2	K562	KARR-seq
chr19	55663137	55669141	ENSG00000129991.8	TNNI3	protein_coding	-	chr19	55648259	55696809	K562_MPT_7001	chr9	80494644	80638505	K562_SE_716	3	6.85e-2	K562	KARR-seq
chr19	896503	913240	ENSG00000198858.5	R3HDM4	protein_coding	-	chr19	908231	933817	K562_MPT_6176	chr7	150714325	150715808	K562_TE_20673	3	1.12e-2	K562	KARR-seq
chr19	928257	928817	ENSG00000267159.1	AC005391.2	lncRNA	-	chr19	908231	933817	K562_MPT_6176	chr7	150714325	150715808	K562_TE_20673	3	1.12e-2	K562	KARR-seq
chr19	917287	921015	ENSG00000116014.5	KISS1R	protein_coding	+	chr19	908231	933817	K562_MPT_6176	chr7	150714325	150715808	K562_TE_20673	3	1.12e-2	K562	KARR-seq
chr19	925781	975939	ENSG00000116017.6	ARID3A	protein_coding	+	chr19	908231	933817	K562_MPT_6176	chr7	150714325	150715808	K562_TE_20673	3	1.12e-2	K562	KARR-seq
chr12	56710007	56727837	ENSG00000135473.10	PAN2	protein_coding	-	chr12	56722527	56737663	K562_MPT_3044	chr10	75463323	75491111	K562_TE_3014	3	1.12e-2	K562	KARR-seq
chr12	56732663	56734193	ENSG00000110944.4	IL23A	protein_coding	+	chr12	56722527	56737663	K562_MPT_3044	chr10	75463323	75491111	K562_TE_3014	3	1.12e-2	K562	KARR-seq
chr1	153634512	153643524	ENSG00000143621.12	ILF2	protein_coding	-	chr1	153637708	153656113	K562_MPT_922	chr20	47900668	47920027	K562_TE_13310	3	1.38e-2	K562	KARR-seq
chr1	153651113	153666468	ENSG00000169418.9	NPR1	protein_coding	+	chr1	153637708	153656113	K562_MPT_922	chr20	47900668	47920027	K562_TE_13310	3	1.38e-2	K562	KARR-seq
chr9	140172201	140177093	ENSG00000198113.2	TOR4A	protein_coding	+	chr9	140167201	140177201	K562_MPT_13247	chr5	139124684	139154809	K562_TE_17640	3	1.12e-2	K562	KARR-seq
chr6	30584006	30584082	ENSG00000222894.1	AL662800.1	miRNA	-	chr6	30579082	30599663	K562_MPT_10954	chr6	28574822	28586472	K562_SE_586	3	1.66e-2	K562	KARR-seq
chr6	30568177	30586389	ENSG00000204569.5	PPP1R10	protein_coding	-	chr6	30579082	30599663	K562_MPT_10954	chr6	28574822	28586472	K562_SE_586	3	1.66e-2	K562	KARR-seq
chr6	30594619	30614600	ENSG00000137343.13	ATAT1	protein_coding	+	chr6	30579082	30599663	K562_MPT_10954	chr6	28574822	28586472	K562_SE_586	3	1.66e-2	K562	KARR-seq
chr6	30585486	30594172	ENSG00000204568.7	MRPS18B	protein_coding	+	chr6	30579082	30599663	K562_MPT_10954	chr6	28574822	28586472	K562_SE_586	3	1.66e-2	K562	KARR-seq
chr1	161129240	161135513	ENSG00000143258.11	USP21	protein_coding	+	chr1	161118542	161152287	K562_MPT_1019	chr13	99154748	99169317	K562_TE_6224	3	1.12e-2	K562	KARR-seq
chr1	161136200	161147803	ENSG00000143224.13	PPOX	protein_coding	+	chr1	161118542	161152287	K562_MPT_1019	chr13	99154748	99169317	K562_TE_6224	3	1.12e-2	K562	KARR-seq
chr1	161122566	161128646	ENSG00000143222.7	UFC1	protein_coding	+	chr1	161118542	161152287	K562_MPT_1019	chr13	99154748	99169317	K562_TE_6224	3	1.12e-2	K562	KARR-seq
chr1	161141100	161147287	ENSG00000158850.10	B4GALT3	protein_coding	-	chr1	161118542	161152287	K562_MPT_1019	chr13	99154748	99169317	K562_TE_6224	3	1.12e-2	K562	KARR-seq
chr1	161123550	161129139	ENSG00000224985.1	RP11-297K8.2	lncRNA	-	chr1	161118542	161152287	K562_MPT_1019	chr13	99154748	99169317	K562_TE_6224	3	1.12e-2	K562	KARR-seq
chr6	42847356	42857663	ENSG00000146223.10	RPL7L1	protein_coding	+	chr6	42842373	42852671	K562_MPT_11093	chr6	147532768	147547718	K562_TE_19148	3	1.38e-2	K562	KARR-seq
chr3	172468472	172539264	ENSG00000114346.9	ECT2	protein_coding	+	chr3	172463472	172477321	K562_MPT_9477	chr22	40447120	40488152	K562_TE_14128	3	1.12e-2	K562	KARR-seq
chr5	43484061	43509458	ENSG00000249492.1	RP11-159F24.3	lncRNA	+	chr5	43478938	43489174	K562_MPT_10244	chr11	78057964	78112641	K562_TE_4288	3	1.66e-2	K562	KARR-seq
chr5	43444354	43483995	ENSG00000151881.10	C5orf28	protein_coding	-	chr5	43478938	43489174	K562_MPT_10244	chr11	78057964	78112641	K562_TE_4288	3	1.66e-2	K562	KARR-seq
chr1	6812779	6812881	ENSG00000239166.1	snoU13	snoRNA	+	chr7	2585599	2604061	K562_MPT_11517	chr9	10090	96323	K562_SE_707	3	1.38e-2	K562	KARR-seq
chr7	2598632	2654368	ENSG00000106012.13	IQCE	protein_coding	+	chr7	2585599	2604061	K562_MPT_11517	chr9	10090	96323	K562_SE_707	3	1.38e-2	K562	KARR-seq
chr7	2577511	2595361	ENSG00000106009.11	BRAT1	protein_coding	-	chr7	2585599	2604061	K562_MPT_11517	chr9	10090	96323	K562_SE_707	3	1.38e-2	K562	KARR-seq
chr16	74705753	74734858	ENSG00000168404.8	MLKL	protein_coding	-	chr16	74729688	74739858	K562_MPT_5065	chr22	23528183	23591207	K562_SE_441	3	1.12e-2	K562	KARR-seq
chr12	122516628	122631894	ENSG00000175727.9	MLXIP	protein_coding	+	chr12	122511628	122521628	K562_MPT_3344	chr1	246294272	246388032	K562_SE_112	3	6.84e-2	K562	KARR-seq
chr1	202137179	202158583	ENSG00000243323.1	PTPRVP	pseudogene	+	chr1	202124119	202142179	K562_MPT_1185	chr16	70429524	70469337	K562_SE_274	3	4.80e-2	K562	KARR-seq
chr1	202116141	202130716	ENSG00000143851.11	PTPN7	protein_coding	-	chr1	202124119	202142179	K562_MPT_1185	chr16	70429524	70469337	K562_SE_274	3	4.80e-2	K562	KARR-seq
chr1	28696114	28826881	ENSG00000204138.8	PHACTR4	protein_coding	+	chr1	28759682	28769682	K562_MPT_304	chr1	29462900	29499182	K562_TE_446	3	1.12e-2	K562	KARR-seq
chr6	43573053	43596899	ENSG00000172432.14	GTPBP2	protein_coding	-	chr6	43585541	43617783	K562_MPT_11110	chr7	104666911	104685394	K562_TE_20246	3	1.66e-2	K562	KARR-seq
chr6	43597277	43608689	ENSG00000124688.9	MAD2L1BP	protein_coding	+	chr6	43585541	43617783	K562_MPT_11110	chr7	104666911	104685394	K562_TE_20246	3	1.66e-2	K562	KARR-seq
chr6	43612783	43640336	ENSG00000172426.11	RSPH9	protein_coding	+	chr6	43585541	43617783	K562_MPT_11110	chr7	104666911	104685394	K562_TE_20246	3	1.66e-2	K562	KARR-seq
chr7	20257200	20261323	ENSG00000233834.2	AC005083.1	lncRNA	+	chr7	20252013	20264062	K562_MPT_11588	chr4	85796908	85808784	K562_TE_16260	3	1.12e-2	K562	KARR-seq
chr7	20174278	20257027	ENSG00000183742.8	MACC1	protein_coding	-	chr7	20252013	20264062	K562_MPT_11588	chr4	85796908	85808784	K562_TE_16260	3	1.12e-2	K562	KARR-seq
chr6	26195794	26195999	ENSG00000216331.1	HIST1H1PS1	pseudogene	+	chr6	26178958	26209858	K562_MPT_10877	chr17	27963624	28067286	K562_SE_299	3	5.76e-2	K562	KARR-seq
chr6	26188938	26189304	ENSG00000188987.2	HIST1H4D	protein_coding	-	chr6	26178958	26209858	K562_MPT_10877	chr17	27963624	28067286	K562_SE_299	3	5.76e-2	K562	KARR-seq
chr6	26199748	26200942	ENSG00000197846.3	HIST1H2BF	protein_coding	+	chr6	26178958	26209858	K562_MPT_10877	chr17	27963624	28067286	K562_SE_299	3	5.76e-2	K562	KARR-seq
chr6	26183958	26184454	ENSG00000197697.3	HIST1H2BE	protein_coding	+	chr6	26178958	26209858	K562_MPT_10877	chr17	27963624	28067286	K562_SE_299	3	5.76e-2	K562	KARR-seq
chr6	26204858	26206266	ENSG00000198518.5	HIST1H4E	protein_coding	+	chr6	26178958	26209858	K562_MPT_10877	chr17	27963624	28067286	K562_SE_299	3	5.76e-2	K562	KARR-seq
chr6	26199079	26199471	ENSG00000196866.2	HIST1H2AD	protein_coding	-	chr6	26178958	26209858	K562_MPT_10877	chr17	27963624	28067286	K562_SE_299	3	5.76e-2	K562	KARR-seq
chr6	26202384	26202882	ENSG00000217275.2	RP1-34B20.4	pseudogene	+	chr6	26178958	26209858	K562_MPT_10877	chr17	27963624	28067286	K562_SE_299	3	5.76e-2	K562	KARR-seq
chr6	26197068	26199521	ENSG00000197409.6	HIST1H3D	protein_coding	-	chr6	26178958	26209858	K562_MPT_10877	chr17	27963624	28067286	K562_SE_299	3	5.76e-2	K562	KARR-seq
chr19	23921997	23941693	ENSG00000196172.8	ZNF681	protein_coding	-	chr19	23936639	23950816	K562_MPT_6580	chr19	28942803	29111036	K562_SE_341	3	5.76e-2	K562	KARR-seq
chr19	23945746	24016116	ENSG00000233836.3	RP11-255H23.2	pseudogene	+	chr19	23936639	23950816	K562_MPT_6580	chr19	28942803	29111036	K562_SE_341	3	5.76e-2	K562	KARR-seq
chr19	23945807	24010937	ENSG00000205246.4	RPSAP58	protein_coding	+	chr19	23936639	23950816	K562_MPT_6580	chr19	28942803	29111036	K562_SE_341	3	5.76e-2	K562	KARR-seq
chr17	46709852	46709921	ENSG00000210741.1	MIR196A1	miRNA	-	chr17	46698835	46729385	K562_MPT_5636	chr7	76177805	76239287	K562_TE_20032	3	5.74e-2	K562	KARR-seq
chr17	46713285	46724385	ENSG00000272763.1	RP11-357H14.17	lncRNA	-	chr17	46698835	46729385	K562_MPT_5636	chr7	76177805	76239287	K562_TE_20032	3	5.74e-2	K562	KARR-seq
chr17	46698518	46703839	ENSG00000170689.8	HOXB9	protein_coding	-	chr17	46698835	46729385	K562_MPT_5636	chr7	76177805	76239287	K562_TE_20032	3	5.74e-2	K562	KARR-seq
chr17	46706037	46712294	ENSG00000242207.1	HOXB-AS4	lncRNA	+	chr17	46698835	46729385	K562_MPT_5636	chr7	76177805	76239287	K562_TE_20032	3	5.74e-2	K562	KARR-seq
chr1	109941653	109969062	ENSG00000143106.8	PSMA5	protein_coding	-	chr1	109963973	109974062	K562_MPT_714	chr2	38904689	38936285	K562_TE_11318	3	1.38e-2	K562	KARR-seq
chr4	103715540	103790053	ENSG00000109332.15	UBE2D3	protein_coding	-	chr4	103741699	103754316	K562_MPT_9933	chr7	135922004	135933750	K562_TE_20536	3	1.38e-2	K562	KARR-seq
chr4	103749212	103765232	ENSG00000246560.2	RP11-10L12.4	lncRNA	+	chr4	103741699	103754316	K562_MPT_9933	chr7	135922004	135933750	K562_TE_20536	3	1.38e-2	K562	KARR-seq
chr4	144434616	144478639	ENSG00000153147.5	SMARCA5	protein_coding	+	chr4	144429616	144440788	K562_MPT_10033	chr11	65235059	65278329	K562_SE_179	3	9.90e-2	K562	KARR-seq
chr4	144434625	144435788	ENSG00000245112.2	SMARCA5-AS1	lncRNA	-	chr4	144429616	144440788	K562_MPT_10033	chr11	65235059	65278329	K562_SE_179	3	9.90e-2	K562	KARR-seq
chr19	16741562	16771253	ENSG00000214046.4	SMIM7	protein_coding	-	chr19	16765915	16777072	K562_MPT_6480	chr7	129338493	129361180	K562_TE_20454	3	1.12e-2	K562	KARR-seq
chr19	16771938	16800840	ENSG00000072954.2	TMEM38A	protein_coding	+	chr19	16765915	16777072	K562_MPT_6480	chr7	129338493	129361180	K562_TE_20454	3	1.12e-2	K562	KARR-seq
chr19	16688453	16770926	ENSG00000268790.1	CTC-429P9.4	protein_coding	-	chr19	16765915	16777072	K562_MPT_6480	chr7	129338493	129361180	K562_TE_20454	3	1.12e-2	K562	KARR-seq
chr1	173768688	173793858	ENSG00000120334.11	CENPL	protein_coding	-	chr1	173788270	173798797	K562_MPT_1094	chr5	140937273	140950796	K562_TE_17655	3	1.12e-2	K562	KARR-seq
chr1	173793641	173827684	ENSG00000117593.8	DARS2	protein_coding	+	chr1	173788270	173798797	K562_MPT_1094	chr5	140937273	140950796	K562_TE_17655	3	1.12e-2	K562	KARR-seq
chr17	41196312	41277500	ENSG00000012048.15	BRCA1	protein_coding	-	chr17	41271132	41282661	K562_MPT_5549	chr8	116430344	116443014	K562_TE_21501	3	1.12e-2	K562	KARR-seq
chr17	41277627	41305688	ENSG00000198496.6	NBR2	pseudogene	+	chr17	41271132	41282661	K562_MPT_5549	chr8	116430344	116443014	K562_TE_21501	3	1.12e-2	K562	KARR-seq
chr11	46638826	46696368	ENSG00000175224.12	ATG13	protein_coding	+	chr11	46680550	46690550	K562_MPT_2192	chr15	102488547	102521362	K562_SE_260	3	1.12e-2	K562	KARR-seq
chr3	12881811	12881949	ENSG00000207496.1	SNORA7A	snoRNA	-	chr3	12876949	12888087	K562_MPT_8907	chr19	49600928	49610186	K562_TE_10819	3	1.66e-2	K562	KARR-seq
chr3	12875984	12883087	ENSG00000144713.8	RPL32	protein_coding	-	chr3	12876949	12888087	K562_MPT_8907	chr19	49600928	49610186	K562_TE_10819	3	1.66e-2	K562	KARR-seq
chr1	40997233	41013841	ENSG00000117010.11	ZNF684	protein_coding	+	chr1	40992233	41002335	K562_MPT_431	chr21	36189417	36198620	K562_TE_13590	3	1.12e-2	K562	KARR-seq
chr21	38737779	38738234	ENSG00000273210.1	AP001437.1	lncRNA	-	chr21	38733234	38744883	K562_MPT_8455	chr7	99938728	99943115	K562_TE_20166	3	1.66e-2	K562	KARR-seq
chr21	38738092	38889753	ENSG00000157540.15	DYRK1A	protein_coding	+	chr21	38733234	38744883	K562_MPT_8455	chr7	99938728	99943115	K562_TE_20166	3	1.66e-2	K562	KARR-seq
chrX	54094757	54209714	ENSG00000184083.7	FAM120C	protein_coding	-	chrX	54204688	54214714	K562_MPT_13445	chr3	42042833	42103721	K562_TE_14587	3	1.37e-2	K562	KARR-seq
chr6	41902671	42018095	ENSG00000112576.8	CCND3	protein_coding	-	chr6	42011424	42023662	K562_MPT_11084	chr2	192677286	192734357	K562_SE_390	3	1.12e-2	K562	KARR-seq
chr6	42018251	42055199	ENSG00000137413.11	TAF8	protein_coding	+	chr6	42011424	42023662	K562_MPT_11084	chr2	192677286	192734357	K562_SE_390	3	1.12e-2	K562	KARR-seq
chr7	5632439	5646286	ENSG00000075618.13	FSCN1	protein_coding	+	chr7	5627439	5639317	K562_MPT_11537	chr15	64084850	64162339	K562_TE_7404	3	1.66e-2	K562	KARR-seq
chr11	77850817	77886369	ENSG00000246174.3	KCTD21-AS1	lncRNA	+	chr11	77845304	77855861	K562_MPT_2489	chr12	104962151	105038733	K562_SE_208	3	1.66e-2	K562	KARR-seq
chr11	77811982	77850706	ENSG00000159063.8	ALG8	protein_coding	-	chr11	77845304	77855861	K562_MPT_2489	chr12	104962151	105038733	K562_SE_208	3	1.66e-2	K562	KARR-seq
chr17	38516907	38520945	ENSG00000266208.1	CTD-2267D19.3	protein_coding	+	chr17	38511907	38529204	K562_MPT_5504	chr3	42042833	42103721	K562_TE_14587	3	1.66e-2	K562	KARR-seq
chr17	38517235	38520067	ENSG00000183153.5	GJD3	protein_coding	-	chr17	38511907	38529204	K562_MPT_5504	chr3	42042833	42103721	K562_TE_14587	3	1.66e-2	K562	KARR-seq
chr17	38524204	38524690	ENSG00000264655.1	CTD-2267D19.4	pseudogene	+	chr17	38511907	38529204	K562_MPT_5504	chr3	42042833	42103721	K562_TE_14587	3	1.66e-2	K562	KARR-seq
chr4	77870856	77961537	ENSG00000138758.7	SEPT11	protein_coding	+	chr4	77865856	77876015	K562_MPT_9855	chr22	41901464	41922664	K562_TE_14160	3	1.38e-2	K562	KARR-seq
chr1	93302846	93302940	ENSG00000206680.1	SNORD21	snoRNA	+	chr1	93292582	93307846	K562_MPT_660	chr9	95498346	95519387	K562_TE_22141	3	1.12e-2	K562	KARR-seq
chr1	93297582	93307481	ENSG00000122406.8	RPL5	protein_coding	+	chr1	93292582	93307846	K562_MPT_660	chr9	95498346	95519387	K562_TE_22141	3	1.12e-2	K562	KARR-seq
chr7	99686577	99689823	ENSG00000168090.5	COPS6	protein_coding	+	chr7	99670210	99707959	K562_MPT_11910	chr12	114165507	114258959	K562_TE_5625	3	1.66e-2	K562	KARR-seq
chr7	99661656	99680171	ENSG00000166526.12	ZNF3	protein_coding	-	chr7	99670210	99707959	K562_MPT_11910	chr12	114165507	114258959	K562_TE_5625	3	1.66e-2	K562	KARR-seq
chr7	99690351	99699563	ENSG00000166508.13	MCM7	protein_coding	-	chr7	99670210	99707959	K562_MPT_11910	chr12	114165507	114258959	K562_TE_5625	3	1.66e-2	K562	KARR-seq
chr7	99699172	99707968	ENSG00000221838.5	AP4M1	protein_coding	+	chr7	99670210	99707959	K562_MPT_11910	chr12	114165507	114258959	K562_TE_5625	3	1.66e-2	K562	KARR-seq
chr7	99691183	99691266	ENSG00000207547.1	MIR25	miRNA	-	chr7	99670210	99707959	K562_MPT_11910	chr12	114165507	114258959	K562_TE_5625	3	1.66e-2	K562	KARR-seq
chr7	99691391	99691470	ENSG00000207757.1	MIR93	miRNA	-	chr7	99670210	99707959	K562_MPT_11910	chr12	114165507	114258959	K562_TE_5625	3	1.66e-2	K562	KARR-seq
chr7	99691616	99691697	ENSG00000208036.1	MIR106B	miRNA	-	chr7	99670210	99707959	K562_MPT_11910	chr12	114165507	114258959	K562_TE_5625	3	1.66e-2	K562	KARR-seq
chr16	67515217	67521153	ENSG00000270049.1	RP11-297D21.4	lncRNA	+	chr16	67509982	67523145	K562_MPT_5001	chr22	41703292	41707799	K562_TE_14156	3	1.12e-2	K562	KARR-seq
chr16	67516474	67517716	ENSG00000159723.4	AGRP	protein_coding	-	chr16	67509982	67523145	K562_MPT_5001	chr22	41703292	41707799	K562_TE_14156	3	1.12e-2	K562	KARR-seq
chr16	67471917	67515140	ENSG00000159720.7	ATP6V0D1	protein_coding	-	chr16	67509982	67523145	K562_MPT_5001	chr22	41703292	41707799	K562_TE_14156	3	1.12e-2	K562	KARR-seq
chr16	4896666	4932361	ENSG00000118900.10	UBN1	protein_coding	+	chr16	4891211	4907216	K562_MPT_4682	chr9	101584047	101597532	K562_SE_723	3	1.12e-2	K562	KARR-seq
chr16	4853204	4897343	ENSG00000140632.12	GLYR1	protein_coding	-	chr16	4891211	4907216	K562_MPT_4682	chr9	101584047	101597532	K562_SE_723	3	1.12e-2	K562	KARR-seq
chr1	150521884	150533413	ENSG00000143382.9	ADAMTSL4	protein_coding	+	chr1	150516884	150544336	K562_MPT_882	chrX	151189338	151200619	K562_TE_23341	3	1.38e-2	K562	KARR-seq
chr1	150533480	150533969	ENSG00000203804.3	ADAMTSL4-AS1	protein_coding	-	chr1	150516884	150544336	K562_MPT_882	chrX	151189338	151200619	K562_TE_23341	3	1.38e-2	K562	KARR-seq
chr1	150521897	150524367	ENSG00000225996.2	AL356356.1	protein_coding	+	chr1	150516884	150544336	K562_MPT_882	chrX	151189338	151200619	K562_TE_23341	3	1.38e-2	K562	KARR-seq
chr1	150521040	150530200	ENSG00000237781.2	RP11-54A4.2	lncRNA	-	chr1	150516884	150544336	K562_MPT_882	chrX	151189338	151200619	K562_TE_23341	3	1.38e-2	K562	KARR-seq
chr1	150524405	150524490	ENSG00000264553.1	MIR4257	miRNA	+	chr1	150516884	150544336	K562_MPT_882	chrX	151189338	151200619	K562_TE_23341	3	1.38e-2	K562	KARR-seq
chr1	150539040	150539336	ENSG00000264508.1	RN7SL473P	misc_RNA	-	chr1	150516884	150544336	K562_MPT_882	chrX	151189338	151200619	K562_TE_23341	3	1.38e-2	K562	KARR-seq
chr16	88941266	89043612	ENSG00000129993.10	CBFA2T3	protein_coding	-	chr16	89038401	89055440	K562_MPT_5146	chr11	129946355	129973694	K562_TE_4650	3	1.66e-2	K562	KARR-seq
chr16	89050440	89061777	ENSG00000259989.1	CTD-2555A7.1	lncRNA	+	chr16	89038401	89055440	K562_MPT_5146	chr11	129946355	129973694	K562_TE_4650	3	1.66e-2	K562	KARR-seq
chr19	40972148	41082370	ENSG00000160460.11	SPTBN4	protein_coding	+	chr19	40966652	40978126	K562_MPT_6721	chr1	16209163	16230145	K562_TE_217	3	1.66e-2	K562	KARR-seq
chr19	40953696	40971747	ENSG00000090013.5	BLVRB	protein_coding	-	chr19	40966652	40978126	K562_MPT_6721	chr1	16209163	16230145	K562_TE_217	3	1.66e-2	K562	KARR-seq
chr19	6375159	6379069	ENSG00000125650.4	PSPN	protein_coding	-	chr19	6367444	6380860	K562_MPT_6296	chr6	158973180	158999000	K562_TE_19268	3	1.38e-2	K562	KARR-seq
chr19	6372444	6375042	ENSG00000125652.3	ALKBH7	protein_coding	+	chr19	6367444	6380860	K562_MPT_6296	chr6	158973180	158999000	K562_TE_19268	3	1.38e-2	K562	KARR-seq
chr1	24958207	24999758	ENSG00000133226.12	SRRM1	protein_coding	+	chr1	24962722	24980417	K562_MPT_236	chr8	41862480	41873838	K562_TE_21055	3	1.12e-2	K562	KARR-seq
chr22	32340447	32353590	ENSG00000128245.10	YWHAH	protein_coding	+	chr22	32335447	32348409	K562_MPT_8686	chr7	128152174	128182652	K562_TE_20431	3	1.12e-2	K562	KARR-seq
chr22	32329507	32341504	ENSG00000128254.9	C22orf24	protein_coding	-	chr22	32335447	32348409	K562_MPT_8686	chr7	128152174	128182652	K562_TE_20431	3	1.12e-2	K562	KARR-seq
chr1	50905150	51425935	ENSG00000185104.15	FAF1	protein_coding	-	chr1	51420833	51440616	K562_MPT_507	chr6	4781409	4817806	K562_TE_18047	3	1.38e-2	K562	KARR-seq
chr1	51426417	51440305	ENSG00000123080.6	CDKN2C	protein_coding	+	chr1	51420833	51440616	K562_MPT_507	chr6	4781409	4817806	K562_TE_18047	3	1.38e-2	K562	KARR-seq
chr14	27727923	28314492	ENSG00000258932.1	CTD-3006G17.2	pseudogene	-	chr14	28137427	28147436	K562_MPT_3739	chr12	62681613	62713302	K562_TE_5203	3	1.12e-2	K562	KARR-seq
chr19	34917017	34919178	ENSG00000267024.1	CTD-2588C8.8	lncRNA	-	chr19	34914178	34924781	K562_MPT_6613	chr1	65724685	65762997	K562_SE_47	3	1.38e-2	K562	KARR-seq
chr19	34919257	34960853	ENSG00000126261.8	UBA2	protein_coding	+	chr19	34914178	34924781	K562_MPT_6613	chr1	65724685	65762997	K562_SE_47	3	1.38e-2	K562	KARR-seq
chr22	29190543	29196585	ENSG00000100219.12	XBP1	protein_coding	-	chr22	29191121	29202880	K562_MPT_8640	chr4	79684477	79738669	K562_TE_16199	3	1.66e-2	K562	KARR-seq
chr22	29196671	29244547	ENSG00000226471.2	CTA-292E10.6	lncRNA	+	chr22	29191121	29202880	K562_MPT_8640	chr4	79684477	79738669	K562_TE_16199	3	1.66e-2	K562	KARR-seq
chr1	112084840	112259313	ENSG00000116473.10	RAP1A	protein_coding	+	chr1	112157399	112167769	K562_MPT_740	chr11	95944717	96013925	K562_SE_189	3	1.38e-2	K562	KARR-seq
chr1	76253574	76253657	ENSG00000207241.1	SNORD45A	snoRNA	+	chr1	76246879	76267567	K562_MPT_602	chr7	153105705	153129442	K562_SE_673	3	1.08e-1	K562	KARR-seq
chr1	76262567	76378923	ENSG00000057468.6	MSH4	protein_coding	+	chr1	76246879	76267567	K562_MPT_602	chr7	153105705	153129442	K562_SE_673	3	1.08e-1	K562	KARR-seq
chr1	76255162	76255233	ENSG00000201487.1	SNORD45B	snoRNA	+	chr1	76246879	76267567	K562_MPT_602	chr7	153105705	153129442	K562_SE_673	3	1.08e-1	K562	KARR-seq
chr1	76251879	76260764	ENSG00000137955.11	RABGGTB	protein_coding	+	chr1	76246879	76267567	K562_MPT_602	chr7	153105705	153129442	K562_SE_673	3	1.08e-1	K562	KARR-seq
chr1	76252757	76252835	ENSG00000206620.1	SNORD45C	snoRNA	+	chr1	76246879	76267567	K562_MPT_602	chr7	153105705	153129442	K562_SE_673	3	1.08e-1	K562	KARR-seq
chr22	20073581	20073665	ENSG00000221366.1	MIR1306	miRNA	+	chr22	20051685	20078581	K562_MPT_8554	chr8	38457826	38458815	K562_TE_21018	3	1.38e-2	K562	KARR-seq
chr22	20050503	20058066	ENSG00000236540.3	AC006547.13	lncRNA	-	chr22	20051685	20078581	K562_MPT_8554	chr8	38457826	38458815	K562_TE_21018	3	1.38e-2	K562	KARR-seq
chr22	20073269	20073356	ENSG00000266567.1	MIR3618	miRNA	+	chr22	20051685	20078581	K562_MPT_8554	chr8	38457826	38458815	K562_TE_21018	3	1.38e-2	K562	KARR-seq
chr22	20067755	20099400	ENSG00000128191.9	DGCR8	protein_coding	+	chr22	20051685	20078581	K562_MPT_8554	chr8	38457826	38458815	K562_TE_21018	3	1.38e-2	K562	KARR-seq
chr3	186648274	186796341	ENSG00000073849.10	ST6GAL1	protein_coding	+	chr3	186734643	186748271	K562_MPT_9548	chr20	48278631	48324320	K562_SE_410	3	1.38e-2	K562	KARR-seq
chr14	24649425	24658170	ENSG00000196497.11	IPO4	protein_coding	-	chr14	24648881	24669893	K562_MPT_3729	chr6	68585750	68609380	K562_SE_605	3	6.84e-2	K562	KARR-seq
chr14	24658349	24682679	ENSG00000100926.10	TM9SF1	protein_coding	-	chr14	24648881	24669893	K562_MPT_3729	chr6	68585750	68609380	K562_SE_605	3	6.84e-2	K562	KARR-seq
chrX	122734412	122866906	ENSG00000125676.15	THOC2	protein_coding	-	chrX	122861904	122871906	K562_MPT_13609	chr12	111831442	111884186	K562_TE_5584	3	1.38e-2	K562	KARR-seq
chr1	28835071	28835274	ENSG00000200087.1	SNORA73B	snoRNA	+	chr1	28827455	28850207	K562_MPT_305	chr3	194822992	194836048	K562_TE_15653	3	1.38e-2	K562	KARR-seq
chr1	6812779	6812881	ENSG00000239166.1	snoU13	snoRNA	+	chr1	28827455	28850207	K562_MPT_305	chr3	194822992	194836048	K562_TE_15653	3	1.38e-2	K562	KARR-seq
chr1	28832455	28865812	ENSG00000180198.11	RCC1	protein_coding	+	chr1	28827455	28850207	K562_MPT_305	chr3	194822992	194836048	K562_TE_15653	3	1.38e-2	K562	KARR-seq
chr1	28832492	28837404	ENSG00000242125.2	SNHG3	lncRNA	+	chr1	28827455	28850207	K562_MPT_305	chr3	194822992	194836048	K562_TE_15653	3	1.38e-2	K562	KARR-seq
