pair_id,enhancer_chr,enhancer_chr_start,enhancer_chr_end,enhancer_id,promoter_chr,promoter_chr_start,promoter_chr_end,promoter_id,ENSG,gene_id,gene_type,reads_count,P-value,cell_line,methods,interaction_type
K562_EP_1414,chr3,14479781,14500264,K562_TE_14386,chr19,11195038,11206275,K562_MPT_6378,ENSG00000130164.7,LDLR,protein_coding,16,1.06e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1415,chr18,756567,807069,K562_TE_9733,chr1,245021396,245033040,K562_MPT_1406,ENSG00000153187.12,HNRNPU,protein_coding,16,1.08e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1416,chr2,171992468,172012441,K562_TE_12304,chr11,5521834,5536215,K562_MPT_2030,ENSG00000175520.8,UBQLN3,protein_coding,16,1.1e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1417,chr19,28942803,29111036,K562_SE_341,chr17,56828230,56838230,K562_MPT_5708,ENSG00000175175.4,PPM1E,protein_coding,16,1.19e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1418,chr6,15253980,15391637,K562_SE_569,chr7,26235366,26250988,K562_MPT_11622,ENSG00000122565.14,CBX3,protein_coding,16,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1419,chr21,46847396,46859449,K562_TE_13729,chr17,76113829,76133488,K562_MPT_5865,ENSG00000167895.10,TMC8,protein_coding,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1420,chr7,65214424,65236497,K562_SE_652,chr5,154130135,154141734,K562_MPT_10623,ENSG00000155506.12,LARP1,protein_coding,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1421,chr22,39108113,39113221,K562_TE_14099,chr3,154032073,154047286,K562_MPT_9422,ENSG00000174953.9,DHX36,protein_coding,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1422,chr12,118725281,118786082,K562_TE_5662,chr10,70656034,70666034,K562_MPT_1675,ENSG00000107625.8,DDX50,protein_coding,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1423,chr3,14244645,14342792,K562_SE_455,chr7,64462031,64472031,K562_MPT_11752,ENSG00000213462.4,ERV3-1,protein_coding,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1424,chr1,966288,976091,K562_TE_17,chr19,1391466,1418900,K562_MPT_6189,ENSG00000248015.2,AC005329.7,lncRNA,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1425,chrX,11257371,11276677,K562_TE_22710,chr12,64998239,65009293,K562_MPT_3089,ENSG00000153179.7,RASSF3,protein_coding,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1426,chr17,74551794,74583449,K562_SE_318,chr5,36143090,36160221,K562_MPT_10214,ENSG00000207756.1,MIR580,miRNA,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1427,chr3,47756954,47764576,K562_TE_14666,chr1,228265361,228275851,K562_MPT_1333,ENSG00000143761.9,ARF1,protein_coding,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1428,chr3,72476234,72511224,K562_TE_14861,chr19,17511457,17521954,K562_MPT_6493,ENSG00000269640.1,CTD-2521M24.9,lncRNA,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1429,chr2,178192474,178203810,K562_TE_12371,chr19,42358988,42369839,K562_MPT_6748,ENSG00000105372.2,RPS19,protein_coding,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1430,chr19,45600681,45641649,K562_TE_10728,chr11,94496508,94506537,K562_MPT_2538,ENSG00000166025.13,AMOTL1,protein_coding,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1431,chr9,137226831,137261881,K562_TE_22596,chr6,29590815,29609120,K562_MPT_10939,ENSG00000235238.1,SUMO2P1,pseudogene,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1432,chr1,12060863,12072998,K562_TE_175,chr5,68525668,68535944,K562_MPT_10299,ENSG00000134058.6,CDK7,protein_coding,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1433,chr1,28769596,28777411,K562_TE_428,chr5,884814,898757,K562_MPT_10148,ENSG00000071539.9,TRIP13,protein_coding,14,1.21e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1434,chr5,154141922,154167532,K562_TE_17799,chr1,6626001,6645148,K562_MPT_77,ENSG00000173662.15,TAS1R1,protein_coding,14,1.22e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1435,chr5,10689205,10739844,K562_SE_528,chr1,151877113,151887284,K562_MPT_910,ENSG00000159445.8,THEM4,protein_coding,14,1.22e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1436,chr3,138462446,138518985,K562_TE_15213,chr11,62489821,62501114,K562_MPT_2272,ENSG00000214753.2,HNRNPUL2,protein_coding,14,1.22e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1437,chr16,23853484,23934208,K562_SE_269,chr20,35483276,35497089,K562_MPT_8178,ENSG00000149639.10,SOGA1,protein_coding,16,1.34e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1438,chr11,65235059,65278329,K562_SE_179,chr1,161082891,161092908,K562_MPT_1017,ENSG00000158793.9,NIT1,protein_coding,22,1.65e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1439,chr20,32587038,32676878,K562_TE_13113,chr19,2264485,2275290,K562_MPT_6215,ENSG00000167476.6,JSRP1,protein_coding,14,1.73e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1440,chr11,65235059,65278329,K562_SE_179,chr2,61399553,61416847,K562_MPT_7303,ENSG00000173209.18,AHSA2,protein_coding,21,1.77e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1441,chr8,126937450,126959759,K562_TE_21586,chr1,224616807,224629735,K562_MPT_1307,ENSG00000162923.10,WDR26,protein_coding,14,1.77e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1442,chr21,38744669,38835594,K562_SE_428,chr11,67130108,67146648,K562_MPT_2379,ENSG00000256514.1,AP003419.11,lncRNA,14,1.97e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1443,chr11,65235059,65278329,K562_SE_179,chr6,28906654,28916654,K562_MPT_10934,ENSG00000204709.4,C6orf100,protein_coding,26,2.1e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1444,chr1,230208360,230327626,K562_SE_104,chr17,46040176,46053517,K562_MPT_5627,ENSG00000108465.10,CDK5RAP3,protein_coding,14,2.14e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1445,chr7,106584969,106759452,K562_SE_661,chr12,46754090,46771650,K562_MPT_2904,ENSG00000134294.9,SLC38A2,protein_coding,14,2.43e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1446,chrX,64892608,64942250,K562_TE_22977,chr11,65332744,65354370,K562_MPT_2333,ENSG00000176973.7,FAM89B,protein_coding,15,2.66e-05,K562,RIC-seq,trans_cross_chromosome
K562_EP_1447,chr6,68585750,68609380,K562_SE_605,chr16,89551726,89565201,K562_MPT_5152,ENSG00000261118.1,RP11-104N10.1,lncRNA,18,3.53e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1448,chr8,130546590,130605033,K562_SE_702,chr10,102101147,102111881,K562_MPT_1834,ENSG00000099194.5,SCD,protein_coding,14,3.53e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1449,chr21,39483580,39488307,K562_TE_13642,chr17,1152294,1162294,K562_MPT_5178,ENSG00000262213.1,AC144836.1,lncRNA,14,4.91e-05,K562,RIC-seq,trans_cross_chromosome
K562_EP_1450,chr5,179511558,179521767,K562_TE_17969,chr16,4388762,4410608,K562_MPT_4673,ENSG00000217930.3,PAM16,protein_coding,14,4.93e-05,K562,RIC-seq,trans_cross_chromosome
K562_EP_1451,chr6,41959442,42010899,K562_SE_599,chr1,144984309,145000082,K562_MPT_812,ENSG00000268172.1,AL590452.1,protein_coding,14,6.27e-05,K562,RIC-seq,trans_cross_chromosome
K562_EP_1452,chr16,85548387,85639758,K562_SE_284,chr20,30304001,30316792,K562_MPT_8113,ENSG00000268457.1,AL160175.1,protein_coding,14,6.43e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1453,chr6,68585750,68609380,K562_SE_605,chr1,243411622,243424372,K562_MPT_1397,ENSG00000054282.11,SDCCAG8,protein_coding,14,6.6e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1454,chr16,85548387,85639758,K562_SE_284,chr6,16756369,16769577,K562_MPT_10844,ENSG00000124788.13,ATXN1,protein_coding,14,6.85e-05,K562,RIC-seq,trans_cross_chromosome
K562_EP_1455,chr11,65235059,65278329,K562_SE_179,chr1,43307033,43321358,K562_MPT_450,ENSG00000228192.3,RP11-342M1.3,lncRNA,21,7.19e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1456,chr11,65235059,65278329,K562_SE_179,chr14,52448937,52465444,K562_MPT_3812,ENSG00000087302.4,C14orf166,protein_coding,17,7.75e-05,K562,KARR-seq,trans_cross_chromosome
K562_EP_1457,chr1,142618438,142623892,K562_TE_1325,chr3,75829209,75839734,K562_MPT_9181,ENSG00000227124.4,ZNF717,protein_coding,13,0.000118,K562,RIC-seq,trans_cross_chromosome
K562_EP_1458,chr1,143928750,144054981,K562_TE_1340,chr15,23029370,23039427,K562_MPT_4104,ENSG00000140157.10,NIPA2,protein_coding,13,0.000118,K562,KARR-seq,trans_cross_chromosome
K562_EP_1459,chrX,138078295,138090287,K562_TE_23299,chr18,2562198,2576564,K562_MPT_5959,ENSG00000101574.10,METTL4,protein_coding,13,0.000118,K562,KARR-seq,trans_cross_chromosome
K562_EP_1460,chr5,139788378,139813185,K562_TE_17648,chr3,45012658,45022722,K562_MPT_9023,ENSG00000075914.8,EXOSC7,protein_coding,13,0.000118,K562,KARR-seq,trans_cross_chromosome
K562_EP_1461,chr15,64982530,64988967,K562_TE_7420,chr19,47611531,47622009,K562_MPT_6846,ENSG00000130749.5,ZC3H4,protein_coding,13,0.000118,K562,KARR-seq,trans_cross_chromosome
K562_EP_1462,chr6,126262274,126286469,K562_TE_18995,chr1,151025234,151037125,K562_MPT_892,ENSG00000213190.2,MLLT11,protein_coding,13,0.000118,K562,KARR-seq,trans_cross_chromosome
K562_EP_1463,chr10,126801223,126839727,K562_TE_3457,chr2,62110659,62120939,K562_MPT_7308,ENSG00000115484.10,CCT4,protein_coding,13,0.000119,K562,KARR-seq,trans_cross_chromosome
K562_EP_1464,chr7,32540416,32556043,K562_TE_19686,chr1,8933066,8944308,K562_MPT_96,ENSG00000236269.1,ENO1-IT1,lncRNA,13,0.000121,K562,KARR-seq,trans_cross_chromosome
K562_EP_1465,chr9,132617858,132658432,K562_SE_733,chr10,33239591,33257211,K562_MPT_1561,ENSG00000229656.2,RP11-462L8.1,lncRNA,13,0.000121,K562,KARR-seq,trans_cross_chromosome
K562_EP_1466,chr9,94618470,94683542,K562_SE_719,chr2,74677150,74715361,K562_MPT_7409,ENSG00000239779.2,WBP1,protein_coding,13,0.000126,K562,KARR-seq,trans_cross_chromosome
K562_EP_1467,chr2,55225058,55267805,K562_TE_11460,chr17,65357721,65367743,K562_MPT_5772,ENSG00000197170.5,PSMD12,protein_coding,13,0.000128,K562,KARR-seq,trans_cross_chromosome
K562_EP_1468,chr1,230208360,230327626,K562_SE_104,chr3,48714017,48728797,K562_MPT_9059,ENSG00000213672.3,NCKIPSD,protein_coding,13,0.000129,K562,KARR-seq,trans_cross_chromosome
K562_EP_1469,chr16,84740593,84788244,K562_TE_8588,chr3,51991908,52022553,K562_MPT_9100,ENSG00000114779.15,ABHD14B,protein_coding,13,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1470,chr7,32540416,32556043,K562_TE_19686,chr12,49725971,49745821,K562_MPT_2941,ENSG00000186897.3,C1QL4,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1471,chr6,147171445,147272129,K562_SE_624,chr8,146047849,146059427,K562_MPT_12703,ENSG00000147789.11,ZNF7,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1472,chr10,75715341,75838968,K562_SE_145,chr8,30509522,30520768,K562_MPT_12329,ENSG00000197265.4,GTF2E2,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1473,chr1,111421726,111441927,K562_SE_55,chr2,241521116,241535427,K562_MPT_7971,ENSG00000260942.1,CAPN10-AS1,lncRNA,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1474,chr11,48007498,48041918,K562_TE_3928,chr16,31478380,31499323,K562_MPT_4885,ENSG00000140675.8,SLC5A2,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1475,chr6,20688910,20712673,K562_TE_18221,chr1,40622045,40632045,K562_MPT_424,ENSG00000117000.8,RLF,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1476,chr1,109626153,109650176,K562_TE_1184,chr17,40328099,40351520,K562_MPT_5526,ENSG00000167925.11,GHDC,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1477,chr8,67830082,67847272,K562_SE_688,chrX,123089062,123102020,K562_MPT_13613,ENSG00000232412.1,RP1-315G1.3,lncRNA,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1478,chr6,155072954,155083718,K562_TE_19213,chr18,701523,717676,K562_MPT_5952,ENSG00000132199.14,ENOSF1,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1479,chr13,113353761,113395460,K562_TE_6288,chr11,47188108,47218093,K562_MPT_2199,ENSG00000243802.2,RP11-390K5.1,pseudogene,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1480,chr3,186654509,186678245,K562_TE_15615,chr11,112125988,112168296,K562_MPT_2590,ENSG00000213234.4,ST13P10,pseudogene,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1481,chr17,41392069,41411565,K562_SE_306,chr12,64793130,64808437,K562_MPT_3087,ENSG00000184575.7,XPOT,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1482,chr22,17066736,17097786,K562_SE_431,chr2,70470586,70490551,K562_MPT_7367,ENSG00000116005.7,PCYOX1,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1483,chr2,145188334,145270092,K562_SE_382,chr12,68037118,68050249,K562_MPT_3100,ENSG00000127334.10,DYRK2,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1484,chr12,50925657,51019968,K562_SE_203,chr16,675932,696813,K562_MPT_4606,ENSG00000130731.11,C16orf13,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1485,chr19,53424232,53441284,K562_SE_351,chr3,52268158,52287977,K562_MPT_9105,ENSG00000164088.13,PPM1M,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1486,chr6,5269861,5303678,K562_TE_18059,chr19,9780720,9790776,K562_MPT_6346,ENSG00000171466.5,ZNF562,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1487,chr5,134717410,134728991,K562_TE_17589,chr17,38204861,38233344,K562_MPT_5495,ENSG00000126351.8,THRA,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1488,chr21,15292825,15296359,K562_TE_13463,chr17,60137643,60147643,K562_MPT_5732,ENSG00000108510.5,MED13,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1489,chr12,80305724,80323141,K562_TE_5341,chr16,30361255,30399171,K562_MPT_4852,ENSG00000180035.6,ZNF48,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1490,chr20,1357918,1364838,K562_TE_12915,chr9,139549873,139570054,K562_MPT_13227,ENSG00000199161.1,MIR126,miRNA,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1491,chr1,54676619,54697327,K562_TE_817,chr11,65298736,65331401,K562_MPT_2332,ENSG00000168056.10,LTBP3,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1492,chrX,48793317,48806606,K562_SE_744,chr2,174823947,174838079,K562_MPT_7729,ENSG00000271151.1,RP11-394I13.2,lncRNA,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1493,chr15,34780752,34781779,K562_TE_7096,chr17,73173658,73184078,K562_MPT_5816,ENSG00000188612.7,SUMO2,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1494,chr8,56901995,56936486,K562_TE_21137,chr16,28884726,28897928,K562_MPT_4821,ENSG00000196296.9,ATP2A1,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1495,chr1,89996110,90030257,K562_SE_50,chr15,59392277,59402356,K562_MPT_4317,ENSG00000157456.3,CCNB2,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1496,chr2,15671378,15696593,K562_TE_11091,chr19,19621494,19632039,K562_MPT_6546,ENSG00000186010.14,NDUFA13,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1497,chr19,5943909,5969894,K562_TE_10292,chr22,29132771,29143410,K562_MPT_8638,ENSG00000183765.16,CHEK2,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1498,chr7,110863639,110873030,K562_TE_20318,chr6,28968037,28978037,K562_MPT_10936,ENSG00000197935.6,ZNF311,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1499,chr9,4799120,4902541,K562_SE_709,chr2,97529325,97541494,K562_MPT_7484,ENSG00000168758.6,SEMA4C,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1500,chrX,138223591,138233346,K562_TE_23301,chr11,88065901,88075955,K562_MPT_2521,ENSG00000109861.11,CTSC,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1501,chr9,44875058,44880467,K562_TE_21948,chr20,25837213,25853786,K562_MPT_8100,ENSG00000175170.10,FAM182B,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1502,chr3,136335245,136446485,K562_TE_15197,chr6,30534153,30544219,K562_MPT_10953,ENSG00000204574.8,ABCF1,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1503,chr20,56975923,57009005,K562_TE_13390,chr14,24719262,24745945,K562_MPT_3732,ENSG00000100949.10,RABGGTA,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1504,chr10,131939197,131955931,K562_TE_3473,chr6,170857429,170868693,K562_MPT_11486,ENSG00000008018.8,PSMB1,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1505,chr9,19276930,19283925,K562_TE_21810,chr12,49653539,49672089,K562_MPT_2938,ENSG00000167553.10,TUBA1C,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1506,chr19,45600681,45641649,K562_TE_10728,chr1,53699171,53709282,K562_MPT_529,ENSG00000162385.6,MAGOH,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1507,chr20,45924291,45970176,K562_SE_408,chr3,9877301,9890743,K562_MPT_8880,ENSG00000156990.10,RPUSD3,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1508,chr3,195413396,195443188,K562_TE_15665,chr1,146709291,146719356,K562_MPT_836,ENSG00000131778.13,CHD1L,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1509,chr1,78130891,78138156,K562_TE_989,chr16,8886505,8896724,K562_MPT_4691,ENSG00000184857.7,TMEM186,protein_coding,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1510,chr5,154141922,154167532,K562_TE_17799,chr11,47188108,47218093,K562_MPT_2199,ENSG00000243802.2,RP11-390K5.1,pseudogene,11,0.000132,K562,KARR-seq,trans_cross_chromosome
K562_EP_1511,chr8,130452382,130513523,K562_TE_21615,chrX,130032178,130042208,K562_MPT_13630,ENSG00000165675.12,ENOX2,protein_coding,13,0.000133,K562,RIC-seq,trans_cross_chromosome
K562_EP_1512,chr2,87738949,87854483,K562_SE_373,chr19,19238210,19254322,K562_MPT_6539,ENSG00000064545.10,TMEM161A,protein_coding,11,0.000135,K562,KARR-seq,trans_cross_chromosome
K562_EP_1513,chr18,9733561,9966563,K562_SE_328,chr16,850443,860443,K562_MPT_4610,ENSG00000167945.1,PRR25,protein_coding,11,0.000138,K562,KARR-seq,trans_cross_chromosome
K562_EP_1514,chr12,46144928,46168371,K562_TE_4992,chr6,26178958,26209858,K562_MPT_10877,ENSG00000216331.1,HIST1H1PS1,pseudogene,11,0.00014,K562,KARR-seq,trans_cross_chromosome
K562_EP_1515,chr18,75695246,75705676,K562_TE_10150,chr6,2993977,3009401,K562_MPT_10769,ENSG00000224846.1,RP1-90J20.8,lncRNA,11,0.000142,K562,KARR-seq,trans_cross_chromosome
K562_EP_1516,chr3,4753839,4814516,K562_SE_448,chr19,792075,809940,K562_MPT_6171,ENSG00000265767.1,MIR4745,miRNA,11,0.000142,K562,KARR-seq,trans_cross_chromosome
K562_EP_1517,chr3,14479781,14500264,K562_TE_14386,chr10,103869703,103885210,K562_MPT_1850,ENSG00000198728.6,LDB1,protein_coding,11,0.000142,K562,KARR-seq,trans_cross_chromosome
K562_EP_1518,chr9,139619943,139624993,K562_TE_22624,chr10,73965495,73985510,K562_MPT_1703,ENSG00000200344.1,Y_RNA,misc_RNA,11,0.000142,K562,KARR-seq,trans_cross_chromosome
K562_EP_1519,chr7,120621793,120694187,K562_SE_662,chr16,58653690,58668790,K562_MPT_4976,ENSG00000125107.12,CNOT1,protein_coding,11,0.000143,K562,KARR-seq,trans_cross_chromosome
K562_EP_1520,chr10,5732296,5749874,K562_TE_2470,chr1,155934520,155953890,K562_MPT_960,ENSG00000273002.1,RP11-336K24.12,lncRNA,11,0.000145,K562,KARR-seq,trans_cross_chromosome
K562_EP_1521,chr8,130452382,130513523,K562_TE_21615,chr9,139755718,139765738,K562_MPT_13235,ENSG00000107223.8,EDF1,protein_coding,11,0.000145,K562,KARR-seq,trans_cross_chromosome
K562_EP_1522,chr11,65235059,65278329,K562_SE_179,chr9,15505287,15516017,K562_MPT_12749,ENSG00000164985.10,PSIP1,protein_coding,16,0.000146,K562,KARR-seq,trans_cross_chromosome
K562_EP_1523,chr11,95944717,96013925,K562_SE_189,chr7,129069274,129079287,K562_MPT_12053,ENSG00000128578.5,STRIP2,protein_coding,11,0.000147,K562,KARR-seq,trans_cross_chromosome
K562_EP_1524,chr11,65167965,65217131,K562_SE_178,chr10,45490923,45501336,K562_MPT_1595,ENSG00000165512.4,ZNF22,protein_coding,13,0.000148,K562,KARR-seq,trans_cross_chromosome
K562_EP_1525,chr16,89505998,89551616,K562_TE_8654,chr4,83289303,83300656,K562_MPT_9876,ENSG00000272677.1,RP11-127B20.3,lncRNA,13,0.000149,K562,KARR-seq,trans_cross_chromosome
K562_EP_1526,chr6,68585750,68609380,K562_SE_605,chr1,161188198,161201976,K562_MPT_1021,ENSG00000158874.7,APOA2,protein_coding,11,0.000149,K562,KARR-seq,trans_cross_chromosome
K562_EP_1527,chrX,11290563,11437956,K562_SE_739,chr9,123625900,123644606,K562_MPT_13064,ENSG00000119403.9,PHF19,protein_coding,13,0.000152,K562,KARR-seq,trans_cross_chromosome
K562_EP_1528,chr12,116553715,116655574,K562_TE_5637,chr3,9428506,9445263,K562_MPT_8872,ENSG00000206573.4,SETD5-AS1,lncRNA,13,0.000154,K562,KARR-seq,trans_cross_chromosome
K562_EP_1529,chr2,145188334,145270092,K562_SE_382,chr7,6741474,6754759,K562_MPT_11554,ENSG00000187953.6,PMS2CL,pseudogene,13,0.000154,K562,KARR-seq,trans_cross_chromosome
K562_EP_1530,chr3,42042833,42103721,K562_TE_14587,chr5,138604441,138619470,K562_MPT_10538,ENSG00000200959.1,SNORA74A,snoRNA,11,0.000164,K562,KARR-seq,trans_cross_chromosome
K562_EP_1531,chr11,65167965,65217131,K562_SE_178,chr10,70086832,70097806,K562_MPT_1668,ENSG00000096746.13,HNRNPH3,protein_coding,14,0.000167,K562,KARR-seq,trans_cross_chromosome
K562_EP_1532,chr4,79684477,79738669,K562_TE_16199,chr6,26211872,26222165,K562_MPT_10878,ENSG00000168274.3,HIST1H2AE,protein_coding,11,0.000174,K562,KARR-seq,trans_cross_chromosome
K562_EP_1533,chr11,65235059,65278329,K562_SE_179,chr8,144358019,144378592,K562_MPT_12667,ENSG00000185730.3,ZNF696,protein_coding,16,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1534,chr3,126590753,126664377,K562_SE_477,chr1,241794232,241808701,K562_MPT_1392,ENSG00000054277.8,OPN3,protein_coding,12,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1535,chr1,180521116,180592281,K562_SE_84,chr2,170585356,170603003,K562_MPT_7704,ENSG00000213160.5,KLHL23,protein_coding,12,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1536,chr8,125928401,125952609,K562_TE_21565,chr15,43472339,43482637,K562_MPT_4224,ENSG00000261687.1,RP11-473C18.3,lncRNA,12,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1537,chr10,11916377,11968192,K562_SE_121,chr16,25109879,25128253,K562_MPT_4795,ENSG00000260448.1,RP11-449H11.1,lncRNA,12,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1538,chr20,47900668,47920027,K562_TE_13310,chr5,89762565,89775712,K562_MPT_10380,ENSG00000113356.6,POLR3G,protein_coding,12,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1539,chr7,44800407,44808434,K562_TE_19800,chrX,118597225,118608061,K562_MPT_13590,ENSG00000005022.5,SLC25A5,protein_coding,12,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1540,chr17,55609383,55632774,K562_TE_9348,chr5,179100629,179112975,K562_MPT_10727,ENSG00000204659.4,CBY3,protein_coding,12,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1541,chr12,111831442,111884186,K562_TE_5584,chr5,138624337,138640541,K562_MPT_10539,ENSG00000199545.1,RNA5SP195,rRNA,12,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1542,chr4,74067565,74079159,K562_TE_16122,chr8,30579527,30595136,K562_MPT_12330,ENSG00000104691.10,UBXN8,lncRNA,12,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1543,chr6,7235173,7262603,K562_TE_18077,chr20,60937326,60947368,K562_MPT_8331,ENSG00000130702.9,LAMA5,protein_coding,12,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1544,chr6,16245298,16278427,K562_SE_574,chr1,9289834,9304903,K562_MPT_99,ENSG00000049239.8,H6PD,protein_coding,12,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1545,chr18,756567,807069,K562_TE_9733,chr13,42841289,42851289,K562_MPT_3517,ENSG00000023516.7,AKAP11,protein_coding,12,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1546,chr3,46967847,47013803,K562_SE_467,chr6,86294411,86308874,K562_MPT_11207,ENSG00000135317.8,SNX14,protein_coding,12,0.000185,K562,KARR-seq,trans_cross_chromosome
K562_EP_1547,chr1,167342566,167356986,K562_TE_1662,chr12,131349382,131361641,K562_MPT_3395,ENSG00000222438.1,RNU6-1077P,snRNA,12,0.000185,K562,KARR-seq,trans_cross_chromosome
